Merge	YZW	tag_ch	tag_en	group	tag_raw	sup
A145	YZW119	QB8892自改	QB8892_zigai	others	Reid-Tuxpeno
A146	YZW120	中农大689母	ZND689Mu	others	SS
A147	YZW121	敦玉810母	DY810Mu	others	Reid-Tuxpeno
A148	YZW122	M65（刘强）	M65_LQ	others	
A149	YZW123	丰乐520父	NG8708	B	黄改群
A150	YZW124	T4575	T4575	others	
A151	YZW125	QB662	QB662	others	X群
A152	YZW126	QB9219	QB9219	others	Reid-Tuxpeno
A153	YZW127	农系532	NX532	others	
A154	YZW128	QB7860	QB7860	A	Reid-Tuxpeno
A155	YZW129	QB5746红	QB5746Red	others	Suwan-Iodent
A156	YZW130	禾玉808M	HY808M	others	
A157	YZW131	QB4552	QB4552	others	Reid-Tuxpeno
A158	YZW132	QB2182	QB2182	others	Suwan
unknown_1	YZW133	S611	S611		
B167	YZW134	T32	T32	others	Suwan
B173	YZW135	齐系5101	Qixi5101	others	
B185	YZW136	S122	S122	others	NSS
B188	YZW137	C116A	C116A	B	黄改群
B190	YZW138	昌7-2	Chang7_2	B	黄改群
unknown_2	YZW139	QB7847	QB7847		
GX1_6	YZW140	JingB547	JingB547	A	X群
GX1_7	YZW141	LB6203	LB6203	others	X群
GX1_15	YZW142	5818	5818	A	改良Reid
GX2_51	YZW143	QB7971	QB7971	others	SS
GX1_37	YZW144	5746White	5746White	others	Suwan-Iodent
GX1_38	YZW145	AMD412	AMD412	others	
GX1_53	YZW147	Jing92	Jing92	B	黄改群
GX1_68	YZW148	Jing2416	Jing2416	B	黄改群
GX1_69	YZW149	Suai	Suai	others	Suwan-Iodent
GX1_70	YZW150	QB6231/S611	QB6231/S611	others	
GX1_71	YZW151	M65/Q6231	M65/Q6231	others	
GX1_78	YZW152	849	0849	others	
GX1_80	YZW153	SL3C	SL3C	others	Suwan-Lancaster
GX1_81	YZW154	Yudan898m	T7511	A	SS
GX1_82	YZW155	T856	T856	B	黄改群
GX1_83	YZW156	Pob_32	Pob_32	others	NonTuxpeno
GX1_85	YZW157	QB1148/5910 DH-3	QB1148/5910 DH-3	others	
GX1_110	YZW159	MB1_ZTQ	MB1_ZTQ	others	Tuxpeno
GX1_111	YZW160	Mo22D	Mo22D	others	Tuxpeno
GX1_112	YZW161	Tu	Tu	others	Tuxpeno
GX1_113	YZW162	122Red	122Red	others	nonTuxpeno
GX1_114	YZW163	Mo40_1D	Mo40_1D	others	Tuxpeno
GX1_115	YZW164	M126_2	M126_2	others	
GX1_116	YZW165	DWS	DWS	others	热源
GX1_117	YZW166	ZM181	ZM181	others	Tuxpeno
GX1_118	YZW167	Qing122	Qing122	others	nonTuxpeno
GX1_119	YZW168	MB1_ZTY	MB1_ZTY	others	Tuxpeno
GX1_121	YZW169	Momu	Momu	others	Tuxpeno
GX1_122	YZW170	mo132_1	mo132_1	others	Suwan-Iodent
GX1_123	YZW171	Yudan898F	Yudan898F	others	Tuxpeno
GX1_126	YZW173	DK653F	G4675Z	others	黄改群
GX1_127	YZW174	Dongdan1331F	XB1621	others	Iodent
GX1_128	YZW175	Su95_1	Su95_1	others	黄旅
GX1_130	YZW176	DH605F	DH605Mu	others	Suwan
GX1_132	YZW177	CatetoF2_13	CatetoF2_13	others	nonTuxpeno
GX1_133	YZW178	NG5	NG5	others	X群
GX1_134	YZW179	L7221	L7221	others	
GX1_137	YZW180	T4575	T4575	others	
GX1_140	YZW182	L239	L239	A	PA
GX1_142	YZW184	735F	735F	others	
GX1_143	YZW185	Zheng58	Zheng58	others	Reid
GX1_144	YZW186	CT3354	CT3354	others	Lancaster
GX1_145	YZW187	T4575	T4575	others	
GX1_146	YZW188	L711	L711	others	
GX1_147	YZW189	LP04	LP04	others	
GX1_148	YZW190	L719	L719	B	黄改群
GX1_149	YZW191	Q196	Q196	others	SS
GX1_150	YZW192	AH319/7855	AH319/7855	others	
GX1_152	YZW193	Jing724	Jing724	A	X群
GX1_155	YZW194	QB197	QB197	others	Lancaster
GX1_156	YZW195	CAMA230	CAMA230	A	SS
GX2_76	YZW196	CAVB109	CAVB109	others	
GX2_77	YZW197	CAVA119	CAVA119	others	
GX2_78	YZW198	AF027_DH035	AF027_DH035	B	Iodent
GX2_79	YZW199	AF040_DH019	AF040_DH019	others	
GX2_80	YZW200	AF041_DH069	AF041_DH069	A	SS
GX2_81	YZW201	AF042_DH003	AF042_DH003	A	SS
GX2_82	YZW202	AF059_DH307	AF059_DH307	B	
24ZZ865	YZW203	QB5910	QB5910		
24ZZ866	YZW204	Q6213	Q6213		
24ZZ867	YZW205	QB5725White	QB5725White		
24ZZ868	YZW206	QB7874	QB7874		
24ZZ869	YZW207	657T111111U	657T111111U		
24ZZ870	YZW208	679T2611	679T2611		
24ZZ856	YZW209	豫1122	Yu1122	A	
